"zip_code","homes_sold","average_price"
"32233",322,897672.049689441
"32266",90,861988.888888889
"32250",354,772620.903954802
"32081",48,667060.416666667
"32224",569,658157.469244288
"32256",1102,496159.346642468
"32217",246,489640.243902439
"32223",370,489411.351351351
"32259",33,449436.363636364
"32225",723,448622.544951591
"32246",616,436233.116883117
"32226",402,431013.184079602
"32257",470,403657.021276596
"32258",535,380207.85046729
"32207",484,355278.925619835
"32222",502,330370.916334661
"32205",692,327089.739884393
"32221",580,323821.034482759
"32204",94,319589.361702128
"32234",64,313729.6875
"32216",375,306347.2
"32219",432,297906.944444444
"32202",10,295140
"32220",264,291294.696969697
"32277",361,290060.110803324
"32218",1347,283943.875278396
"32210",1010,275892.673267327
"32244",922,260502.494577006
"32211",473,255351.585623679
"32206",344,163108.720930233
"32208",668,147954.94011976
"32254",344,128160.465116279
"32209",651,107476.804915515
