"real_estate_number","owner","address","city","zip_code","sale_date","sale_price"
"108761-0530","AK IMESON LLC","1511 ZOO PKWY ","Jacksonville","32226","2023/09/15 00:00:00",95000000
"003326-1000","USICV 12200 PRESIDENTS INC","12200 PRESIDENTS CT ","Jacksonville","32220","2023/08/15 00:00:00",64003200
"003322-0710","SOUTHEAST TOYOTA DISTRIBUTORS LLC","0 PRITCHARD RD ","Jacksonville","32219","2023/03/08 00:00:00",38272000
"003528-0630","SRE FL PERIMETER OWNER LLC","4150 PERIMETER INDUSTRIAL PKWY W","Jacksonville","32219","2023/05/16 00:00:00",31050000
"152612-0550","ROIB2 DEERWOOD LLC","8040 BAYBERRY RD ","Jacksonville","32256","2023/04/14 00:00:00",24695000
"108605-0110","MASSY DISTRIBUTION PROPERTIES LLC","10775 YEAGER RD ","Jacksonville","32218","2023/10/16 00:00:00",24500000
"003528-0580","JACKSONVILLE ROYCE LLC","4259 PERIMETER INDUSTRIAL PKWY W","Jacksonville","32219","2023/02/27 00:00:00",20700000
"004410-0010","BRI 2280 NORTH LANE AVENUE LLC","2280 LANE AVE N","Jacksonville","32254","2023/03/14 00:00:00",18170000
"108676-0000","6075 LANCE LLC","2983 FAYE RD ","Jacksonville","32226","2023/01/20 00:00:00",15900000
"058467-1050","LINEAGE LOGISTICS SERVICES LLC","4501 DIGNAN ST ","Jacksonville","32254","2023/10/02 00:00:00",15800000
"147827-0000","NBPIV POWERS LLC","2700 POWERS AVE ","Jacksonville","32207","2023/07/11 00:00:00",15000000
"108764-0650","AG RC BUSCH DRIVE PROPERTY OWNER LLC","201 BUSCH DR E","Jacksonville","32218","2023/03/30 00:00:00",14350000
"048846-0000","2210 MELSON MZL LLC","2210 MELSON AVE ","Jacksonville","32254","2023/07/06 00:00:00",13250000
"121906-0000","1751 MARSHALL STREET LLC","1751 MARSHALL ST ","Jacksonville","32206","2023/03/08 00:00:00",12250000
"152612-1200","ROIB2 DEERWOOD LLC","8019 BAYBERRY RD ","Jacksonville","32256","2023/04/14 00:00:00",9750000
"159631-0200","V 3 SHAD ROAD INDUSTRIAL LLC","5300 SHAD RD ","Jacksonville","32257","2023/07/12 00:00:00",9675000
"152612-4200","8443 BAYMEADOWS FLJA LLC","8443 BAYMEADOWS RD ","Jacksonville","32256","2023/10/17 00:00:00",7800000
"169124-0050","YAMAHA MOTOR CORPORATION USA","9954 HECKSCHER DR ","Jacksonville","32226","2023/08/14 00:00:00",6100000
"029893-0050","ECP LONGLEAF PROPERTY LLC","5400 LONGLEAF ST ","Jacksonville","32209","2023/04/28 00:00:00",5500000
"167865-2072","400 ORANGE AVE LLC","6851 DISTRIBUTION AVE S","Jacksonville","32256","2023/09/12 00:00:00",3900000
"076773-0000","1934WB JAX LLC","1934 BEAVER ST W","Jacksonville","32209","2023/08/28 00:00:00",3500000
"059312-0000","AQUEOUS VETS LLC","5349 HIGHWAY AVE ","Jacksonville","32254","2023/05/16 00:00:00",3250000
"109100-0500","11400 NEW BERLIN LLC","11400 NEW BERLIN RD ","Jacksonville","32226","2023/06/30 00:00:00",3250000
"050684-0040","JPRL PROP LLC","1814 INDUSTRIAL BLVD ","Jacksonville","32254","2023/05/17 00:00:00",3200000
"004411-0300","MACALJON SCL INC","2463 LLOYD RD ","Jacksonville","32254","2023/07/31 00:00:00",3125000
"109085-0540","EWING IRRIGATION PRODUCTS INC","11015 BLASIUS RD ","Jacksonville","32226","2023/05/08 00:00:00",2900000
"111121-0000","SUNSHINE ORGANICS & COMPOST LLC","6478 BUFFALO AVE ","Jacksonville","32208","2023/10/13 00:00:00",2830000
"111087-0000","KEYSTONE INVESTMENTS IV LLC","5011 BUFFALO AVE ","Jacksonville","32206","2023/09/28 00:00:00",2700000
"165418-0070","CHEFS GARDEN OF JACKSONVILLE INC","11193 ST JOHNS INDUSTRIAL PKWY ","Jacksonville","32246","2023/03/27 00:00:00",2608000
"167865-5125","7035 DAVIS CREEK ROAD LLC","7035 DAVIS CREEK RD ","Jacksonville","32256","2023/05/11 00:00:00",2550000
"109084-0302","GFL SOLID WASTE SOUTHEAST LLC","11011 BLASIUS RD ","Jacksonville","32226","2023/11/02 00:00:00",2500000
"115339-0000","ARCOSA MS8 LLC","1600 TALLEYRAND AVE ","Jacksonville","32206","2023/10/13 00:00:00",2410000
"115338-0040","ARCOSA MS8 LLC","1754 7TH ST E","Jacksonville","32206","2023/10/13 00:00:00",2290000
"167865-2058","SIMMONS U S A HOLDINGS LLC","11303 BUSINESS PARK BLVD ","Jacksonville","32256","2023/05/25 00:00:00",2100000
"168155-0060","ATKINSON RICHARD","11790 PHILIPS HWY ","Jacksonville","32256","2023/02/16 00:00:00",2050000
"059297-0000","FCM 5225 JAX LLC","5225 EDGEWOOD CT ","Jacksonville","32254","2023/09/28 00:00:00",2025000
"163672-0000","DENTAL MOTOR COMPANY LLC","2823 ST JOHNS BLUFF RD S","Jacksonville","32246","2023/08/22 00:00:00",1950000
"167865-5135","7071 DAVIS CREEK ROAD LLC","7071 DAVIS CREEK RD ","Jacksonville","32256","2023/01/18 00:00:00",1725000
"167865-2118","ZBP RE HOLDINGS LLC","11331 DISTRIBUTION AVE E","Jacksonville","32256","2023/08/03 00:00:00",1700000
"162879-3490","RISING TIDES PROPERTY GROUP LLC","10526 CRAIG INDUSTRIAL DR ","Jacksonville","32225","2023/09/08 00:00:00",1550000
"107865-1010","D&H HOLDINGS OF FLORIDA LLC","14027 HYATT RD ","Jacksonville","32218","2023/02/22 00:00:00",1300000
